List,Target,Word,Lexicality,Stratum,Root,KM_Dom_PoS,WF,CD,N,N_WF,N_CD,Length,Lemma,Ġabra_PoS,Gloss,NomGender,NomNumber,AdpPerson,AdpGender,AdpNumber,SubPerson,SubGender,SubNumber,DirPerson,DirGender,DirNumber,IndPerson,IndGender,IndNumber,Aspect,Polarity,SwapNeighbor,SwapOutcome,SwapWF,SwapCD
15,13850,abbandunati,Real,Non-Semitic,No Root,PART-PASS,1699,1291,16,2946,2359,11,abbandunat,ADJ,deserted,mf,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,20327,abbiltà,Real,Non-Semitic,No Root,NOUN,853,654,12,548,496,7,abbiltà,NOUN,ability,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,14428,abbiltajiet,Real,Non-Semitic,No Root,NOUN,549,443,5,217,194,11,abbiltà,NOUN,ability,f,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,11036,abbonat,Real,Non-Semitic,No Root,PART-PASS,608,281,7,1224,689,7,abbonat,NOUN,subscriber,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,15015,abbonati,Real,Non-Semitic,No Root,NOUN,882,407,5,845,505,8,abbonat,NOUN,subscriber,m,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,18962,abbord,Real,Non-Semitic,No Root,NOUN,6260,3007,11,66,52,6,abbord,ADJ,aboard,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,12605,abbozz,Real,Non-Semitic,No Root,NOUN,124741,12264,14,4348,2605,6,abbozz,NOUN,draft,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,20056,abbozza,Real,Non-Semitic,No Root,NOUN,52,47,14,129301,15004,7,abbozza,VERB,to draft,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
27,15703,abbozzajna,Real,Non-Semitic,No Root,VERB,15,15,0,0,0,10,abbozza,VERB,to draft,-,-,-,-,-,p1,-,pl,-,-,-,-,-,-,perf,pos,-,-,-,-
47,29000,abbozzajt,Real,Non-Semitic,No Root,VERB,6,5,3,264,211,9,abbozza,VERB,to draft,-,-,-,-,-,p1,-,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
30,15868,abbozzat,Real,Non-Semitic,No Root,PART-PASS,261,208,10,711,583,8,abbozza,VERB,to draft,-,-,-,-,-,p3,f,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
33,16051,abbozzi,Real,Non-Semitic,No Root,NOUN,3912,2213,9,124827,12345,7,abbozz,NOUN,draft,-,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,20328,abbundanza,Real,Non-Semitic,No Root,NOUN,364,311,5,20,19,10,abbundanza,NOUN,abundance,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,15735,abbuż,Real,Non-Semitic,No Root,NOUN,18215,8158,19,12099,6797,5,abbuż,NOUN,abuse,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,17340,abilitajiet,Real,Non-Semitic,No Root,NOUN,371,255,6,180,158,11,abilità,NOUN,ability,f,pl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,10055,abitat,Real,Non-Semitic,No Root,NOUN,938,695,12,1044,737,6,abitat,NOUN,inhabited,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,12543,abjad,Real,Semitic,b-j-d,ADJ,5162,3160,13,73,65,5,abjad,ADJ,white,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,18554,aċċess,Real,Non-Semitic,No Root,NOUN,22559,10125,20,1220,746,6,aċċess,NOUN,access,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,20329,aċċessat,Real,Non-Semitic,No Root,PART-PASS,48,48,8,110,102,8,aċċessat,ADJ,accessed,m,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,12336,aċċetta,Real,Non-Semitic,No Root,VERB,4081,3364,25,20287,15463,7,aċċetta,VERB,to accept,-,-,-,-,-,p3,m,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
48,16833,aċċettajt,Real,Non-Semitic,No Root,VERB,514,455,10,5755,4247,9,aċċetta,VERB,to accept,-,-,-,-,-,p1,-,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
31,17957,aċċettat,Real,Non-Semitic,No Root,PART-PASS,5587,4114,24,18920,14279,8,aċċetta,VERB,to accept,-,-,-,-,-,p3,f,sg,-,-,-,-,-,-,perf,pos,-,-,-,-
50,15490,aċċettata,Real,Non-Semitic,No Root,PART-PASS,4550,3186,21,11815,8351,9,aċċettat,ADJ,accepted,f,sg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
